YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,12,4,5,MQ,3420,N831MQ,ORD,COU,1341,1338,-3,10,1348,89,63,51,315,1439,2,1510,1441,-29,0,0,,,,,,
2015,9,2,3,WN,2918,N776WN,LAS,SJC,610,605,-5,16,621,85,80,58,386,719,6,735,725,-10,0,0,,,,,,
2015,8,19,3,EV,5313,N849AS,EWN,ATL,600,609,9,9,618,86,91,70,433,728,12,726,740,14,0,0,,,,,,
2015,1,14,3,F9,1139,N203FR,CLE,LAS,1415,1511,56,8,1519,280,262,244,1824,1623,10,1555,1633,38,0,0,,0,0,0,38,0
2015,12,23,3,DL,1430,N830DN,SEA,DTW,1400,1357,-3,14,1411,250,248,225,1927,2056,9,2110,2105,-5,0,0,,,,,,
2015,2,14,6,WN,4376,N8609A,HOU,DEN,825,818,-7,9,827,165,152,132,883,939,11,1010,950,-20,0,0,,,,,,
2015,6,19,5,AA,1087,N018AA,ATL,DFW,1750,1751,1,17,1808,143,132,105,731,1853,10,1913,1903,-10,0,0,,,,,,
2015,8,19,3,WN,400,N486WN,ABQ,MDW,900,859,-1,7,906,165,155,141,1121,1227,7,1245,1234,-11,0,0,,,,,,
2015,8,9,7,WN,442,N8604K,BWI,SAT,820,831,11,10,841,220,190,176,1407,1037,4,1100,1041,-19,0,0,,,,,,
2015,7,14,2,OO,5305,N929SW,LAX,MRY,1126,1204,38,30,1234,79,78,44,266,1318,4,1245,1322,37,0,0,,0,0,27,10,0
2015,3,9,1,AA,166,N483AA,STL,DFW,1444,1437,-7,16,1453,111,127,97,550,1630,14,1635,1644,9,0,0,,,,,,
2015,9,15,2,UA,521,N436UA,ORD,SLC,1227,1231,4,28,1259,209,209,173,1250,1452,8,1456,1500,4,0,0,,,,,,
2015,2,18,3,DL,1656,N654DL,ATL,PBI,1105,1110,5,30,1140,110,119,83,545,1303,6,1255,1309,14,0,0,,,,,,
2015,10,26,1,AA,2402,N350AA,12892,11298,1235,1255,20,21,1316,188,178,145,1235,1741,12,1743,1753,10,0,0,,,,,,
2015,5,6,3,EV,5177,N391CA,LGA,RIC,1325,1322,-3,34,1356,95,94,57,292,1453,3,1500,1456,-4,0,0,,,,,,
2015,5,16,6,OO,4833,N823SK,LAX,OAK,605,559,-6,24,623,85,84,56,337,719,4,730,723,-7,0,0,,,,,,
2015,3,27,5,DL,2528,N924AT,DTW,ORD,755,753,-2,18,811,90,95,59,235,810,18,825,828,3,0,0,,,,,,
2015,11,21,6,DL,872,N905DA,DCA,ATL,700,658,-2,17,715,118,112,86,547,841,9,858,850,-8,0,0,,,,,,
2015,3,12,4,MQ,3470,N690MQ,CMH,ORD,1456,1451,-5,14,1505,89,97,54,296,1459,29,1525,1528,3,0,0,,,,,,
2015,10,28,3,WN,1676,N8613K,13232,14679,1935,2028,53,8,2036,260,252,241,1728,2237,3,2155,2240,45,0,0,,0,0,45,0,0
2015,8,6,4,EV,4145,N11187,IAH,LRD,2116,2111,-5,10,2121,68,61,47,301,2208,4,2224,2212,-12,0,0,,,,,,
2015,7,26,7,AA,896,N550UW,DFW,PHL,1845,1902,17,18,1920,211,187,164,1303,2304,5,2316,2309,-7,0,0,,,,,,
2015,6,1,1,HA,311,N481HA,ITO,HNL,1950,1946,-4,8,1954,50,56,36,216,2030,12,2040,2042,2,0,0,,,,,,
2015,8,3,1,OO,6530,N760SK,SEA,SFO,1418,1415,-3,17,1432,131,122,102,679,1614,3,1629,1617,-12,0,0,,,,,,
2015,1,30,5,EV,5152,N856AS,MOB,ATL,1844,1837,-7,9,1846,71,64,46,302,2032,9,2055,2041,-14,0,0,,,,,,
2015,3,30,1,OO,7414,N432SW,RHI,MSP,703,725,22,15,740,67,58,37,190,817,6,810,823,13,0,0,,,,,,
2015,12,28,1,WN,2229,N263WN,OAK,BUR,1505,1542,37,8,1550,65,55,44,325,1634,3,1610,1637,27,0,0,,0,0,1,26,0
2015,5,26,2,UA,1583,N69838,PIT,SFO,615,624,9,10,634,331,307,294,2254,828,3,846,831,-15,0,0,,,,,,
2015,3,16,1,AS,28,N320AS,SEA,MSP,1845,1839,-6,15,1854,192,172,153,1399,2327,4,2357,2331,-26,0,0,,,,,,
2015,8,25,2,AA,2373,N857AA,LAX,DFW,1805,1801,-4,11,1812,190,171,156,1235,2248,4,2315,2252,-23,0,0,,,,,,
2015,7,3,5,NK,943,N519NK,ORD,ACY,650,645,-5,10,655,114,107,92,720,927,5,944,932,-12,0,0,,,,,,
2015,4,6,1,DL,2128,N830DN,DTW,MCO,1020,1014,-6,18,1032,162,142,120,957,1232,4,1302,1236,-26,0,0,,,,,,
2015,1,23,5,EV,4497,N29917,MEM,IAH,1010,959,-11,15,1014,111,121,95,468,1149,11,1201,1200,-1,0,0,,,,,,
2015,1,16,5,UA,1588,N16217,IAH,RSW,1919,1926,7,17,1943,126,117,96,861,2219,4,2225,2223,-2,0,0,,,,,,
2015,8,6,4,AA,606,N569UW,DFW,PHX,2120,2129,9,15,2144,146,139,116,868,2140,8,2146,2148,2,0,0,,,,,,
2015,11,6,5,EV,5186,N753EV,MEM,LGA,630,626,-4,11,637,153,161,143,963,1000,7,1003,1007,4,0,0,,,,,,
2015,9,30,3,WN,151,N251WN,LAS,SLC,2115,2114,-1,9,2123,75,69,57,368,2320,3,2330,2323,-7,0,0,,,,,,
2015,12,30,3,DL,1103,N681DA,FLL,MSP,1529,1538,9,30,1608,232,229,187,1487,1815,12,1821,1827,6,0,0,,,,,,
2015,1,31,6,WN,3352,N8303R,LAX,MDW,645,640,-5,16,656,235,233,213,1750,1229,4,1240,1233,-7,0,0,,,,,,
2015,4,10,5,HA,16,N386HA,HNL,SAN,1320,1316,-4,14,1330,325,332,314,2614,2144,4,2145,2148,3,0,0,,,,,,
2015,5,15,5,AS,633,N407AS,PHX,SEA,1500,1514,14,32,1546,173,182,146,1107,1812,4,1753,1816,23,0,0,,9,0,1,13,0
2015,7,7,2,WN,1267,N605SW,MCO,BUF,715,712,-3,8,720,150,143,132,1011,932,3,945,935,-10,0,0,,,,,,
2015,4,15,3,MQ,3294,N645MQ,SPS,DFW,1825,1824,-1,11,1835,49,45,23,113,1858,11,1914,1909,-5,0,0,,,,,,
2015,12,3,4,WN,579,N526SW,MSY,HOU,925,922,-3,9,931,70,72,58,302,1029,5,1035,1034,-1,0,0,,,,,,
2015,5,10,7,UA,520,N847UA,ORD,MSY,905,903,-2,28,931,144,153,121,837,1132,4,1129,1136,7,0,0,,,,,,
2015,5,6,3,WN,402,N767SW,BWI,DTW,1530,1616,46,7,1623,95,79,65,409,1728,7,1705,1735,30,0,0,,0,0,6,24,0
2015,5,29,5,EV,6104,N14125,IAH,ISN,955,1017,22,26,1043,222,197,166,1330,1329,5,1337,1334,-3,0,0,,,,,,
2015,11,24,2,DL,2506,N991DL,ATL,ECP,1355,1352,-3,17,1409,64,61,40,240,1349,4,1359,1353,-6,0,0,,,,,,
2015,4,30,4,US,641,N823AW,IAH,PHX,550,546,-4,17,603,170,157,136,1009,619,4,640,623,-17,0,0,,,,,,
2015,11,9,1,OO,4809,N603QX,SJC,SEA,755,756,1,16,812,138,130,104,697,956,10,1013,1006,-7,0,0,,,,,,
2015,8,25,2,DL,709,N326US,PHL,MSP,1715,1710,-5,17,1727,174,157,136,980,1843,4,1909,1847,-22,0,0,,,,,,
2015,11,10,2,DL,1836,N303DQ,CHS,ATL,730,727,-3,16,743,80,68,47,259,830,5,850,835,-15,0,0,,,,,,
2015,9,16,3,DL,1408,N3734B,OAK,SLC,610,607,-3,17,624,105,100,78,588,842,5,855,847,-8,0,0,,,,,,
2015,1,23,5,DL,1494,N907DA,PHL,ATL,1130,1136,6,19,1155,141,146,118,666,1353,9,1351,1402,11,0,0,,,,,,
2015,7,22,3,OO,2871,N869AS,LAX,SAN,1400,1353,-7,28,1421,54,63,27,109,1448,8,1454,1456,2,0,0,,,,,,
2015,8,7,5,OO,4506,N8903A,MSP,LSE,2209,2217,8,16,2233,50,42,23,119,2256,3,2259,2259,0,0,0,,,,,,
2015,3,14,6,WN,1324,N746SW,RSW,DEN,1700,1706,6,9,1715,260,234,218,1607,1853,7,1920,1900,-20,0,0,,,,,,
2015,4,1,3,AA,1642,N3CXAA,MIA,DCA,1825,1822,-3,14,1836,154,150,127,919,2043,9,2059,2052,-7,0,0,,,,,,
2015,6,16,2,DL,1195,N955AT,ATL,IAD,1459,1510,11,17,1527,121,100,78,534,1645,5,1700,1650,-10,0,0,,,,,,
2015,12,24,4,B6,570,N834JB,FLL,BOS,1241,1234,-7,10,1244,188,173,158,1237,1522,5,1549,1527,-22,0,0,,,,,,
2015,1,5,1,MQ,3362,N521MQ,MAF,DFW,845,847,2,25,912,80,87,47,309,959,15,1005,1014,9,0,0,,,,,,
2015,12,23,3,AA,2107,N103US,JAX,CLT,1530,1528,-2,23,1551,82,94,58,328,1649,13,1652,1702,10,0,0,,,,,,
2015,4,15,3,OO,4447,N809SK,MKE,DTW,1830,1827,-3,12,1839,69,65,43,237,2022,10,2039,2032,-7,0,0,,,,,,
2015,11,3,2,UA,645,N37465,MFE,IAH,631,628,-3,87,755,77,146,52,316,847,7,748,854,66,0,0,,66,0,0,0,0
2015,6,18,4,WN,403,N700GS,BWI,ALB,1905,1913,8,13,1926,75,72,56,289,2022,3,2020,2025,5,0,0,,,,,,
2015,8,10,1,OO,5193,N140SY,STL,ORD,1649,1849,120,14,1903,84,79,51,258,1954,14,1813,2008,115,0,0,,0,0,10,105,0
2015,11,27,5,MQ,3189,N0EGMQ,ORD,ABQ,2010,2016,6,22,2038,190,210,183,1118,2241,5,2220,2246,26,0,0,,20,0,6,0,0
2015,4,7,2,WN,3572,N245WN,SAT,STL,555,550,-5,10,600,125,116,102,786,742,4,800,746,-14,0,0,,,,,,
2015,8,31,1,MQ,3127,N620MQ,ORD,MLI,2025,2028,3,21,2049,63,50,24,139,2113,5,2128,2118,-10,0,0,,,,,,
2015,4,30,4,HA,29,N395HA,SEA,OGG,1025,1018,-7,12,1030,360,343,317,2640,1247,14,1325,1301,-24,0,0,,,,,,
2015,8,15,6,DL,2534,N3757D,LAX,BOS,940,937,-3,22,959,340,379,340,2611,1839,17,1820,1856,36,0,0,,36,0,0,0,0
2015,3,31,2,MQ,3152,N906MQ,DFW,RAP,1835,1835,0,12,1847,153,130,114,835,1941,4,2008,1945,-23,0,0,,,,,,
2015,2,15,7,DL,2461,N933DL,ATL,MEM,1900,1855,-5,25,1920,89,87,57,332,1917,5,1929,1922,-7,0,0,,,,,,
2015,8,4,2,OO,4753,N614SK,ONT,SLC,1015,1004,-11,14,1018,103,96,77,558,1235,5,1258,1240,-18,0,0,,,,,,
2015,1,13,2,UA,1565,N66808,MSY,IAH,1321,1319,-2,8,1327,79,69,57,305,1424,4,1440,1428,-12,0,0,,,,,,
2015,9,23,3,DL,2642,N943DN,ATL,CLT,1500,1458,-2,13,1511,77,54,36,226,1547,5,1617,1552,-25,0,0,,,,,,
2015,11,21,6,UA,1968,N69847,SAN,EWR,2124,2129,5,12,2141,304,283,263,2425,504,8,528,512,-16,0,0,,,,,,
2015,2,12,4,US,1970,N764US,CLT,BWI,1320,1314,-6,19,1333,82,78,53,361,1426,6,1442,1432,-10,0,0,,,,,,
2015,8,11,2,WN,1131,N414WN,DAL,LIT,815,813,-2,10,823,65,58,44,296,907,4,920,911,-9,0,0,,,,,,
2015,12,13,7,AA,2507,N3LYAA,ORD,LGA,933,928,-5,10,938,127,102,86,733,1204,6,1240,1210,-30,0,0,,,,,,
2015,11,30,1,EV,6167,N14904,CWA,ORD,1539,1540,1,12,1552,68,83,51,213,1643,20,1647,1703,16,0,0,,15,0,1,0,0
2015,1,9,5,US,1826,N171US,BOS,PHL,730,725,-5,26,751,105,120,91,280,922,3,915,925,10,0,0,,,,,,
2015,3,2,1,UA,1228,N39728,DEN,PHX,1159,1206,7,12,1218,115,128,112,602,1410,4,1354,1414,20,0,0,,13,0,7,0,0
2015,3,4,3,AA,1513,N017AA,DFW,ATL,700,706,6,14,720,120,140,106,731,1006,20,1000,1026,26,0,0,,20,0,6,0,0
2015,11,9,1,AA,2245,N3BTAA,MIA,SAN,1945,2108,83,22,2130,337,334,308,2267,2338,4,2222,2342,80,0,0,,0,80,0,0,0
2015,6,19,5,US,673,N665AW,CLT,IAH,2020,2037,17,13,2050,153,141,122,912,2152,6,2153,2158,5,0,0,,,,,,
2015,8,17,1,WN,830,N472WN,LGA,ATL,1625,1636,11,21,1657,165,,,762,2119,9,1910,2128,,1,0,,,,,,
2015,12,18,5,DL,2787,N3744F,BNA,LAX,1758,1844,46,13,1857,291,256,239,1797,2056,4,2049,2100,11,0,0,,,,,,
2015,6,7,7,WN,4053,N7743B,MSY,FLL,1550,1547,-3,7,1554,115,107,97,674,1831,3,1845,1834,-11,0,0,,,,,,
2015,9,12,6,WN,1268,N211WN,DCA,STL,1840,1832,-8,10,1842,130,113,98,719,1920,5,1950,1925,-25,0,0,,,,,,
2015,3,25,3,OO,5231,N903SW,DEN,SLC,1540,1627,47,13,1640,93,77,60,391,1740,4,1713,1744,31,0,0,,0,0,0,31,0
2015,9,2,3,B6,3,N508JB,JFK,SJU,800,755,-5,35,830,235,234,192,1598,1142,7,1155,1149,-6,0,0,,,,,,
2015,3,6,5,EV,5234,N852AS,ATL,ILM,1642,1754,72,18,1812,82,74,52,377,1904,4,1804,1908,64,0,0,,0,0,0,64,0
2015,1,31,6,UA,269,N456UA,IAH,SNA,1520,1514,-6,12,1526,224,193,175,1346,1621,6,1704,1627,-37,0,0,,,,,,
2015,9,12,6,EV,5235,N738EV,DTW,ORF,2016,2013,-3,18,2031,113,106,85,529,2156,3,2209,2159,-10,0,0,,,,,,
2015,7,22,3,WN,307,N465WN,ATL,SFO,825,831,6,23,854,315,305,274,2139,1028,8,1040,1036,-4,0,0,,,,,,
2015,3,5,4,DL,812,N986AT,ATL,ORD,1102,1100,-2,24,1124,125,116,86,606,1150,6,1207,1156,-11,0,0,,,,,,
2015,8,31,1,UA,579,N833UA,DEN,BIL,1123,1157,34,11,1208,91,76,61,455,1309,4,1254,1313,19,0,0,,0,0,19,0,0
2015,11,11,3,WN,5224,N409WN,RDU,TPA,1740,1751,11,14,1805,110,104,85,587,1930,5,1930,1935,5,0,0,,,,,,
2015,9,14,1,AA,1964,N714US,MEM,CLT,755,751,-4,12,803,107,97,75,511,1018,10,1042,1028,-14,0,0,,,,,,
2015,4,2,4,DL,129,N547US,SLC,SEA,1504,1503,-1,13,1516,121,119,100,689,1556,6,1605,1602,-3,0,0,,,,,,
2015,2,19,4,UA,520,N452UA,ORD,DEN,1627,1652,25,14,1706,163,145,126,888,1812,5,1810,1817,7,0,0,,,,,,
2015,4,24,5,WN,142,N762SW,SNA,LAS,1400,1415,15,5,1420,65,56,47,226,1507,4,1505,1511,6,0,0,,,,,,
2015,11,11,3,WN,2547,N278WN,LAS,RNO,1300,1258,-2,16,1314,80,77,57,345,1411,4,1420,1415,-5,0,0,,,,,,
2015,12,2,3,NK,1068,N517NK,LAS,CLE,928,944,16,14,958,234,241,219,1824,1637,8,1622,1645,23,0,0,,23,0,0,0,0
2015,4,12,7,DL,498,N395DN,JFK,SEA,1040,1037,-3,21,1058,372,354,329,2422,1327,4,1352,1331,-21,0,0,,,,,,
2015,9,10,4,OO,4818,N912EV,PLN,DTW,635,630,-5,10,640,67,65,44,243,724,11,742,735,-7,0,0,,,,,,
2015,3,5,4,EV,4188,N48901,EWR,RIC,1900,,,,,85,,,277,,,2025,,,0,1,C,,,,,
2015,9,22,2,DL,1746,N985DL,MIA,ATL,1015,1010,-5,16,1026,120,111,88,594,1154,7,1215,1201,-14,0,0,,,,,,
2015,4,26,7,DL,1687,N912DN,MSP,SAN,925,922,-3,18,940,236,207,186,1532,1046,3,1121,1049,-32,0,0,,,,,,
2015,2,27,5,WN,2602,N8629A,BWI,CMH,1540,1546,6,10,1556,85,78,63,337,1659,5,1705,1704,-1,0,0,,,,,,
2015,6,5,5,WN,897,N465WN,AUS,PHX,1240,1242,2,9,1251,150,135,121,872,1252,5,1310,1257,-13,0,0,,,,,,
2015,11,29,7,AS,684,N791AS,SEA,GEG,1200,1228,28,12,1240,57,58,42,224,1322,4,1257,1326,29,0,0,,1,0,0,28,0
2015,10,21,3,DL,2605,N988DL,10397,14730,2051,2130,39,15,2145,83,72,52,321,2237,5,2214,2242,28,0,0,,0,0,28,0,0
2015,3,28,6,F9,682,N912FR,DEN,MCO,2359,2350,-9,11,1,207,190,172,1546,453,7,526,500,-26,0,0,,,,,,
2015,6,7,7,WN,1983,N769SW,STL,HOU,2150,2241,51,6,2247,115,103,89,687,16,8,2345,24,39,0,0,,0,0,36,3,0
2015,1,4,7,EV,4312,N16911,RDU,IAH,1428,1435,7,13,1448,189,202,182,1042,1650,7,1637,1657,20,0,0,,20,0,0,0,0
2015,11,1,7,UA,1032,,PHL,IAH,530,,,,,225,,,1325,,,815,,,0,1,A,,,,,
2015,11,9,1,F9,366,N906FR,DEN,MKE,1445,1438,-7,12,1450,135,131,113,896,1743,6,1800,1749,-11,0,0,,,,,,
2015,5,3,7,B6,1098,N608JB,DCA,BDL,1859,1855,-4,12,1907,82,69,52,313,1959,5,2021,2004,-17,0,0,,,,,,
2015,8,18,2,WN,1880,N8645A,LAS,IND,855,903,8,11,914,210,203,187,1590,1521,5,1525,1526,1,0,0,,,,,,
2015,2,8,7,OO,4727,N611SK,SJC,SEA,1200,1215,15,14,1229,125,109,88,697,1357,7,1405,1404,-1,0,0,,,,,,
2015,8,18,2,EV,5862,N16987,ORD,XNA,1919,1917,-2,30,1947,105,140,101,522,2128,9,2104,2137,33,0,0,,33,0,0,0,0
2015,1,20,2,AS,65,N767AS,JNU,ANC,1332,1333,1,11,1344,109,105,90,571,1514,4,1521,1518,-3,0,0,,,,,,
2015,1,17,6,OO,5484,N941SW,BOI,SFO,610,555,-15,23,618,115,118,91,522,649,4,705,653,-12,0,0,,,,,,
2015,7,12,7,DL,1730,N308DE,ATL,CHS,2155,2200,5,51,2251,72,93,38,259,2329,4,2307,2333,26,0,0,,26,0,0,0,0
2015,5,3,7,EV,4584,N15574,ELP,IAH,1512,1457,-15,15,1512,115,107,86,667,1738,6,1807,1744,-23,0,0,,,,,,
2015,9,29,2,AA,463,N183UW,TPA,CLT,1710,1705,-5,8,1713,102,102,77,507,1830,17,1852,1847,-5,0,0,,,,,,
2015,4,23,4,WN,359,N7706A,FLL,IND,1050,1045,-5,11,1056,170,174,156,1005,1332,7,1340,1339,-1,0,0,,,,,,
2015,5,25,1,WN,436,N429WN,ABQ,DEN,640,633,-7,9,642,80,69,55,349,737,5,800,742,-18,0,0,,,,,,
2015,9,15,2,WN,413,N7814B,AUS,STL,525,523,-2,12,535,120,116,101,721,716,3,725,719,-6,0,0,,,,,,
2015,2,23,1,DL,1599,N341NB,ATL,PIT,1030,1038,8,15,1053,98,96,71,526,1204,10,1208,1214,6,0,0,,,,,,
2015,7,29,3,OO,6441,N929SW,SLC,SFO,1720,1719,-1,14,1733,128,117,96,599,1809,7,1828,1816,-12,0,0,,,,,,
2015,6,5,5,WN,338,N255WN,LAS,RNO,635,630,-5,18,648,75,78,53,345,741,7,750,748,-2,0,0,,,,,,
2015,2,9,1,WN,1038,N922WN,PVD,MCO,1215,1224,9,32,1256,190,191,151,1072,1527,8,1525,1535,10,0,0,,,,,,
2015,12,15,2,AA,2001,N519UW,PHL,FLL,955,1029,34,18,1047,184,154,133,992,1300,3,1259,1303,4,0,0,,,,,,
2015,8,8,6,EV,5152,N853AS,DTW,AVP,1528,1522,-6,25,1547,84,91,63,399,1650,3,1652,1653,1,0,0,,,,,,
2015,6,25,4,OO,4583,N418SW,SBN,DTW,1744,1757,13,40,1837,63,78,31,157,1908,7,1847,1915,28,0,0,,15,0,13,0,0
2015,7,7,2,EV,5228,N840AS,CID,DTW,630,640,10,24,704,92,106,76,430,920,6,902,926,24,0,0,,14,0,10,0,0
2015,9,2,3,DL,2229,N923DL,ATL,TLH,1615,1617,2,25,1642,64,67,38,223,1720,4,1719,1724,5,0,0,,,,,,
2015,1,29,4,AA,1302,N4XHAA,DFW,RDU,1525,1519,-6,14,1533,148,142,125,1061,1838,3,1853,1841,-12,0,0,,,,,,
2015,3,22,7,HA,24,N583HA,OGG,OAK,1130,1136,6,9,1145,290,294,279,2349,1924,6,1920,1930,10,0,0,,,,,,
2015,3,5,4,NK,256,N604NK,RSW,BOS,1333,1422,49,33,1455,182,190,145,1249,1720,12,1635,1732,57,0,0,,12,0,45,0,0
2015,5,26,2,UA,1650,N75435,LAS,EWR,1653,1648,-5,13,1701,306,280,260,2227,21,7,59,28,-31,0,0,,,,,,
2015,8,14,5,DL,1875,N923AT,LGA,TPA,1135,1130,-5,17,1147,192,152,132,1010,1359,3,1447,1402,-45,0,0,,,,,,
2015,8,11,2,DL,1113,N902DA,ORF,ATL,940,1027,47,14,1041,104,98,79,516,1200,5,1124,1205,41,0,0,,0,0,1,40,0
2015,12,10,4,AA,486,N543UW,PHX,ORD,1940,1937,-3,12,1949,209,180,163,1440,2332,5,9,2337,-32,0,0,,,,,,
2015,9,22,2,WN,1822,N615SW,LAS,ONT,1310,1323,13,12,1335,55,49,32,197,1407,5,1405,1412,7,0,0,,,,,,
2015,7,23,4,DL,1405,N541US,DTW,MCO,1745,1807,22,12,1819,155,147,123,957,2022,12,2020,2034,14,0,0,,,,,,
2015,11,11,3,OO,6268,N472CA,DEN,FAT,1510,1500,-10,12,1512,150,140,117,844,1609,11,1640,1620,-20,0,0,,,,,,
2015,12,28,1,EV,4476,N13995,CLE,BOS,700,650,-10,14,704,107,95,73,563,817,8,847,825,-22,0,0,,,,,,
2015,7,8,3,WN,856,N411WN,SEA,HOU,1510,1508,-2,20,1528,260,270,239,1894,2127,11,2130,2138,8,0,0,,,,,,
